Name,ID,type
Water,h2o[e],Nutrient
Maltose,malt[e],Nutrient
L-histidine,his__L[e],Nutrient
D-galacturonate,galur[e],Nutrient
L-tryptophan,trp__L[e],Nutrient
L-tyrosine,tyr__L[e],Nutrient
D-gluconate,glcn[e],Nutrient
Myo-inositol,inost[e],Nutrient
L-arabinose,arab__L[e],Nutrient
L-glutamate,glu__L[e],Nutrient
L-glutamine,gln__L[e],Nutrient
L-arginine,arg__L[e],Nutrient
D-xylose,xyl__D[e],Nutrient
D-mannitol,mnl[e],Nutrient
Glycerol,glyc[e],Nutrient
Methanol,meoh[e],Nutrient
Succinate,succ[e],Nutrient
Coniferol,confrl[e],Nutrient
L-threonine,thr__L[e],Nutrient
Benzoate,bz[e],Nutrient
L-leucine,leu__L[e],Nutrient
L-methionine,met__L[e],Nutrient
Formate,for[e],Nutrient
Fructose,fru[e],Nutrient
D-mannose,man[e],Nutrient
L-ornithine,orn[e],Nutrient
L-valine,val__L[e],Nutrient
L-aspartate,asp__L[e],Nutrient
D-glucose,glc__D[e],Nutrient
Glycine,gly[e],Nutrient
L-serine,ser__L[e],Nutrient
L-isoleucine,ile__L[e],Nutrient
L-alanine,ala__L[e],Nutrient
Acetate,ac[e],Nutrient
Trehalose,tre[e],Nutrient
Pyruvate,pyr[e],Nutrient
L-cysteine,cys__L[e],Nutrient
Methylamine,mma[e],Nutrient
Cellobiose,cellb[e],Nutrient
L-asparagine,asn__L[e],Nutrient
L-proline,pro__L[e],Nutrient
Oxalate,oxa[e],Nutrient
Sucrose,sucr[e],Nutrient
D-galactose,gal[e],Nutrient
L-lysine,lys__L[e],Nutrient
L-phenylalanine,phe__L[e],Nutrient
Xylan (4),xylan4[e],Nutrient
Xylan (8),xylan8[e],Nutrient
Xylan (12),xylan12[e],Nutrient
